,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPM,se,AB_P,FC_P,entao,OPR,fimse,repita,fimrepita,fim,EOF
0,s2,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1
1,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,a
2,e2,s4,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
3,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
4,e2,e2,s20,e2,e2,e2,s22,s23,s24,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
5,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r1
6,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
7,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
8,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
9,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,s17,e0,s10,e0
10,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r38
11,e0,e0,e0,e0,s29,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
12,e0,e0,e0,e0,s33,e0,e0,e0,e0,e0,e0,s31,s32,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
13,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s34,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
14,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,s39,e0,e0,e0,e0
15,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,e0,e0,s44,e0,e0
16,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s45,e0,e0,e0,e0,e0,e0,e0,e0
17,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,s46,e0,e0,e0,e0,e0,e0,e0,e0
18,e0,e0,e0,e0,r2,e0,e0,e0,e0,r2,r2,e0,e0,e0,e0,r2,e0,e0,e0,e0,e0,r2,e0,r2,e0
19,e0,e0,s20,e0,e0,e0,s22,s23,s24,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
20,e0,e0,e0,s48,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
21,e0,e0,e0,e0,s50,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
22,e0,e0,e0,e0,r8,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
23,e0,e0,e0,e0,r9,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
24,e2,e2,e2,e2,r10,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
25,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r11
26,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r17
27,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r23
28,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,r31
29,e0,e0,e0,s51,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
30,e0,e0,e0,s52,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
31,e2,e2,e2,r14,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
32,e0,e0,e0,r15,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
33,e0,e0,e0,r16,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
34,e0,e0,e0,e0,s55,e0,e0,e0,e0,e0,e0,e0,s56,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
35,e0,e0,e0,e0,r24,e0,e0,e0,e0,r24,r24,e0,e0,e0,e0,r24,e0,e0,e0,e0,r24,r24,r24,r24,e0
36,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,s39,e0,e0,e0,e0
37,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,s39,e0,e0,e0,e0
38,e0,e0,e0,e0,s13,e0,e0,e0,e0,s11,s12,e0,e0,e0,e0,s16,e0,e0,e0,e0,s39,e0,e0,e0,e0
39,e0,e0,e0,e0,r30,e0,e0,e0,e0,r30,r30,e0,e0,e0,e0,r30,e0,e0,e0,e0,r30,r30,r30,r30,e0
40,e0,e0,e0,e0,r32,e0,e0,e0,e0,r32,r32,e0,e0,e0,e0,r32,e0,e0,e0,e0,e0,r32,e0,r32,e0
